"product_id","product_position","promotion","seasonal","sales_volume","price","terms","section","season","material","origin","total_revenue","price_category"
185102,"Aisle",1,1,1243,"79","jackets","MAN","Winter","Polyester","Brazil","98197","medium"
188771,"Aisle",1,"",1429,"15","jackets","MAN","Autumn","Cotton","Turkey","21435","low"
180176,"End-cap",1,1,1168,"72","jackets","WOMAN","Autumn","Polyester","Morocco","84096","medium"
112917,"Aisle",1,"",1348,"31","jackets","MAN","Spring","Polyester","China","41788","low"
192936,"End-cap",1,1,1602,"23","jackets","WOMAN","Winter","Wool Blend","China","36846","low"
117590,"End-cap",1,1,1282,"26","jackets","WOMAN","Autumn","Cotton","Turkey","33332","low"
189118,"Front of Store","","",688,"88","jackets","MAN","Winter","Acrylic","China","60544","medium"
182157,"Aisle",1,1,1711,"24","jackets","WOMAN","Summer","Cotton","Portugal","41064","low"
141861,"Aisle","",1,857,"33","jackets","WOMAN","Winter","Wool","India","28281","low"
137121,"Aisle","","",769,"40","jackets","MAN","Autumn","Wool Blend","China","30760","low"
113143,"Aisle",1,1,1696,"23","jackets","WOMAN","Winter","Wool","China","39008","low"
140028,"Aisle",1,"",1538,"16","jackets","WOMAN","Autumn","Polyester","Portugal","24608","low"
134693,"Aisle","",1,822,"50","jackets","MAN","Autumn","Cotton","Portugal","41100","low"
151396,"Front of Store","","",840,"70","jackets","WOMAN","Autumn","Viscose","Bangladesh","58800","medium"
132889,"Aisle",1,1,1569,"29","jackets","WOMAN","Spring","Polyester","China","45501","low"
152174,"End-cap","",1,952,"30","jackets","WOMAN","Spring","Wool Blend","India","28560","low"
129906,"Aisle","",1,915,"30","jackets","WOMAN","Autumn","Cotton","Portugal","27450","low"
195879,"Front of Store",1,1,1522,"26","jackets","WOMAN","Autumn","Cotton","India","39572","low"
155050,"Aisle",1,1,1305,"78","jackets","MAN","Winter","Polyester","Morocco","101790","medium"
194410,"End-cap","","",840,"50","jackets","WOMAN","Spring","Linen","Bangladesh","42000","low"
141904,"End-cap","","",997,"26","jackets","WOMAN","Spring","Denim","China","25922","low"
